BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT;TRADINGSESSION
TQCB;2021-09-03;ФСК ЕЭС-21;RU000A0JT7T2;0;0.0;;;;102.0;28.79;;6.65;;0;;;102.0;0.0;0.0;0.0;2027-10-06;;;;;7.4;36.9;2024-04-10;2021-08-23;1000.0;SUR;;;;2024-04-17;RUB;3
TQCB;2021-09-03;РСХБ 18;RU000A0JT874;4;511751.9;98.6;99.49;98.65;98.65;23.37;98.6;7.48;98.6;519;98.67;98.67;98.65;556508.2;556508.2;556508.2;2022-10-13;389.0;7.53;;;6.05;30.17;;2021-09-03;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;Роснефть04;RU000A0JT940;49;570154.1;100.53;101.16;100.9;100.91;29.65;100.73;7.16;100.53;566;100.73;100.73;100.91;570154.1;570154.1;570154.1;2022-10-17;389.0;7.32;;;7.9;39.39;;2021-09-03;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;Роснефть05;RU000A0JT965;33;125025.1;100.6;101.22;100.8;100.84;29.65;100.83;7.25;101.22;124;;100.83;100.84;0.0;500127.2;0.0;2022-10-17;389.0;7.23;;;7.9;39.39;;2021-09-03;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;ГлДорога 7;RU000A0JTB96;0;0.0;;;;95.02;32.55;;37.77;;0;;;95.02;0.0;0.0;0.0;2029-10-30;;;;;4.0;39.89;2021-11-09;2021-08-30;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;АИЖ11А1/12;RU000A0JTCV7;0;0.0;;;;;0.06;;;;0;;;;0.0;0.0;0.0;2045-05-25;;;;;9.0;0.57;2021-11-25;;25.23;SUR;;;;;RUB;3
TQCB;2021-09-03;АИЖ11А2/12;RU000A0JTD52;0;0.0;;;;100.0;0.02;;3.11;;0;;;100.0;0.0;0.0;0.0;2045-05-25;;;;;3.0;0.19;2021-11-25;;25.23;SUR;;;;;RUB;3
TQCB;2021-09-03;ДОМ.РФ24об;RU000A0JTDX1;0;0.0;;;;100.0;6.17;;6.97;;0;;;100.0;0.0;0.0;0.0;2022-11-01;;;;;6.82;17.19;2021-11-01;;1000.0;SUR;;;;2021-11-03;RUB;3
TQCB;2021-09-03;ГлДорога 6;RU000A0JTFB2;0;0.0;;;;96.0;30.14;;22.96;;0;;;96.0;0.0;0.0;0.0;2028-11-22;;;;;4.0;39.89;2021-12-01;2021-09-02;1000.0;SUR;;;;;RUB;3
TQRD;2021-09-03;ОткрХОЛ 4;RU000A0JTH82;0;0.0;;;;2.4;;;;;0;;;2.4;0.0;0.0;0.0;2027-12-08;;;;;0.01;0.02;;2021-08-30;1000.0;SUR;;;;;RUB;3
TQRD;2021-09-03;ИФКСОЮЗ2;RU000A0JTHF9;0;0.0;;;;100.0;;;;;0;;;100.0;0.0;0.0;0.0;2027-12-09;;;;;0.1;1.0;;;1000.0;SUR;;;;2027-12-09;RUB;3
TQCB;2021-09-03;МЕТАЛИНВ 2;RU000A0JTLJ3;0;0.0;;;;100.35;7.34;;7.51;;0;;;100.35;0.0;0.0;0.0;2023-01-27;;;;;7.65;38.15;;2021-08-26;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;МЕТАЛИНВ 3;RU000A0JTLL9;0;0.0;;;;100.35;7.34;;7.51;;0;;100.4;100.35;0.0;601412.1;0.0;2023-01-27;491.0;;;;7.65;38.15;;2021-09-02;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;Башнефть06;RU000A0JTM28;15;80479.4;100.51;100.65;100.63;100.63;6.54;100.6;7.34;100.6;80;;100.41;100.63;0.0;5039654.4;0.0;2023-01-31;495.0;7.37;;;7.7;38.39;;2021-09-03;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;Башнефть07;RU000A0JTM36;6;52218.2;98.52;98.64;98.55;98.55;4.67;98.25;7.3;98.64;53;98.25;98.25;98.55;52452877.9;9878205.4;52452877.9;2023-01-31;328.0;7.67;;;5.5;27.42;2022-08-02;2021-09-03;1000.0;SUR;;7.1082;;2022-08-08;RUB;3
